|  TACT  |   AC   |   DR   |   CR   |   IP   |   AR   |
|00000a2b|00000002|00000002|00005006|0000001D|00000006|
|00000a2f|00000002|00000011|00006011|00000011|0000001D|
|00000a36|00000002|00000002|00003006|00000013|00000006|
|00000a3d|00012511|00012511|00004004|00000014|00000004|
|00000a43|00012511|00012511|00005001|00000015|00000001|
|00000a4a|0001DA31|0001DA31|00004005|00000016|00000005|
|00000a50|0001DA31|0001DA31|00005004|00000017|00000004|
|00000a57|0001DA31|0001DA31|00004005|00000018|00000005|
|00000a5e|0002FF42|00012511|00001001|00000019|00000001|
|00000a64|0002FF42|0002FF42|00005005|0000001A|00000005|
|00000a6b|00000002|00000002|00004006|0000001B|00000006|
|00000a6f|00000001|0000F400|0000F400|0000001C|0000001B|
|00000a75|00000001|00000001|00005006|0000001D|00000006|
|00000a79|00000001|00000011|00006011|00000011|0000001D|
|00000a80|00000001|00000001|00003006|00000013|00000006|
|00000a87|0001DA31|0001DA31|00004004|00000014|00000004|
|00000a8d|0001DA31|0001DA31|00005001|00000015|00000001|
|00000a94|0002FF42|0002FF42|00004005|00000016|00000005|
|00000a9a|0002FF42|0002FF42|00005004|00000017|00000004|
|00000aa1|0002FF42|0002FF42|00004005|00000018|00000005|
|00000aa8|0004D973|0001DA31|00001001|00000019|00000001|
|00000aae|0004D973|0004D973|00005005|0000001A|00000005|
|00000ab5|00000001|00000001|00004006|0000001B|00000006|
|00000ab9|00000000|0000F400|0000F400|0000001C|0000001B|
|00000abf|00000000|00000000|00005006|0000001D|00000006|
|00000ac3|00000000|00000011|00006011|00000011|0000001D|
|00000aca|00000000|00000000|00003006|00000012|00000006|
|00000ace|00000000|0000001E|0000601E|0000001E|00000012|
|00000ad1|00000000|0000F000|0000F000|0000001F|0000001E|
|00000ad8|003D0900|003D0900|00004002|00000020|00000002|
|00000adf|003A09BE|0002FF42|00002004|00000021|00000004|
|00000ae5|003A09BE|003A09BE|00005002|00000022|00000002|
|00000ae9|003A09BE|00000008|00006008|00000008|00000022|
|00000af0|003A09BE|003A09BE|00003002|0000000A|00000002|
|00000af7|003D0900|003D0900|00004003|0000000B|00000003|
|00000afd|003D0900|003D0900|00005002|0000000C|00000002|
|00000b04|0000ED18|0000ED18|00004000|0000000D|00000000|
|00000b0b|0003EC5A|0002FF42|00001004|0000000E|00000004|
|00000b11|0003EC5A|0003EC5A|00005000|0000000F|00000000|
|00000b15|00000003|00000003|00004803|00000010|0000000F|
|00000b1b|00000003|00000003|00005006|00000011|00000006|
|00000b22|00000003|00000003|00003006|00000013|00000006|
|00000b29|0002FF42|0002FF42|00004004|00000014|00000004|
|00000b2f|0002FF42|0002FF42|00005001|00000015|00000001|
|00000b36|0004D973|0004D973|00004005|00000016|00000005|
|00000b3c|0004D973|0004D973|00005004|00000017|00000004|
|00000b43|0004D973|0004D973|00004005|00000018|00000005|
|00000b4a|0007D8B5|0002FF42|00001001|00000019|00000001|
|00000b50|0007D8B5|0007D8B5|00005005|0000001A|00000005|
|00000b57|00000003|00000003|00004006|0000001B|00000006|
|00000b5b|00000002|0000F400|0000F400|0000001C|0000001B|
|00000b61|00000002|00000002|00005006|0000001D|00000006|
|00000b65|00000002|00000011|00006011|00000011|0000001D|
|00000b6c|00000002|00000002|00003006|00000013|00000006|
|00000b73|0004D973|0004D973|00004004|00000014|00000004|
|00000b79|0004D973|0004D973|00005001|00000015|00000001|
|00000b80|0007D8B5|0007D8B5|00004005|00000016|00000005|
